"","event_id","Datetime","PhysicalDataID","Station","ConditionCode","MeterSetTime","FlowMeterSpeed","FlowMeterStart","FlowMeterEnd","TowLocation","SampleVolume","SamplingAltered","LarvalDataID","FieldComments","LarvalCatchID","LabComments","comment_extra","Flag_SAMP","Comment_SAMP","Flag_LAB","Comment_LAB"
"1","SHR_1999-02-16 10:00:00",1999-02-16 10:00:00,53,"SHR",1,10,"Regular",501268,600550,"Center",1085.94,NA,59,"plankton  SHRP0001  1 salmon caught  the meter value seemed swapped so changed N.I.",NA,NA,"","","","0",""
"2","SHR_1999-02-17 09:37:00",1999-02-17 09:37:00,36,"SHR",1,10,"Regular",627710,637302,"Center",75.3,NA,1,"SHRP 002",1,NA,"","","","0",""
"3","SHR_1999-02-24 08:23:00",1999-02-24 08:23:00,40,"SHR",1,10,"Regular",885838,896439,"Center",83.22,NA,76,"SHRL 003   Flow Meter # 12972",NA,NA,"","","","0",""
"4","STTD_1999-02-24 11:15:00",1999-02-24 11:15:00,6,"STTD",NA,10,"Regular",896446,910682,"Center",111.75,NA,93,"STTDL 003",NA,NA,"","","","0",""
"5","SHR_1999-02-25 07:45:00",1999-02-25 07:45:00,41,"SHR",1,10,"Regular",911093,921750,"Center",83.66,NA,75,"SHRL 004",NA,NA,"","","","0",""
"6","STTD_1999-02-25 09:45:00",1999-02-25 09:45:00,25,"STTD",1,10,"Regular",921744,937547,"Center",124.05,NA,86,"STTDL 004",NA,NA,"","","","0",""
"7","SHR_1999-03-02 08:05:00",1999-03-02 08:05:00,42,"SHR",NA,10,"Regular",937575,949033,"Center",89.95,NA,74,"SHRL 005",NA,NA,"","","","0",""
"8","STTD_1999-03-02 09:45:00",1999-03-02 09:45:00,26,"STTD",1,10,"Regular",949060,962907,"Center",108.7,NA,85,"STTDL 005",NA,NA,"","","","0",""
"9","SHR_1999-03-04 07:40:00",1999-03-04 07:40:00,43,"SHR",1,10,"Regular",135590,146175,"Center",83.09,NA,73,"SHRL 006",NA,NA,"","","","0",""
"10","STTD_1999-03-04 10:00:00",1999-03-04 10:00:00,27,"STTD",NA,10,"Regular",146182,160047,"Center",108.84,NA,84,NA,NA,NA,"","0","","0",""
"11","SHR_1999-03-09 07:45:00",1999-03-09 07:45:00,44,"SHR",1,10,"Regular",160056,170551,"Center",82.39,NA,72,"SHRL 007",NA,NA,"","","","0",""
"12","STTD_1999-03-09 09:45:00",1999-03-09 09:45:00,28,"STTD",1,10,"Regular",170556,190003,"Center",153,NA,2,"STTDL 007",5,NA,"STTDL 007 1 NA**STTDL 007 1 dead egg of SASU, egg diameter:ca 3.1-3.2mm","","","0",""
"13","SHR_1999-03-11 07:45:00",1999-03-11 07:45:00,45,"SHR",1,10,"Regular",190019,200443,"Center",81.83,NA,71,"SHRL 008",NA,NA,"","","","0",""
"14","STTD_1999-03-11 09:28:00",1999-03-11 09:28:00,29,"STTD",NA,10,"Regular",200437,219692,"Center",151.15,NA,83,"STTDL 008",NA,NA,"","","","0",""
"15","SHR_1999-03-16 07:56:00",1999-03-16 07:56:00,37,"SHR",1,10,"Regular",219700,228524,"Center",69.27,NA,78,"SHRL 009",NA,NA,"","","","0",""
"16","STTD_1999-03-16 10:00:00",1999-03-16 10:00:00,7,"STTD",NA,10,"Regular",228528,247742,"Center",150.83,NA,92,"STTDL 009",NA,NA,"","","","0",""
"17","SHR_1999-03-18 07:35:00",1999-03-18 07:35:00,38,"SHR",1,10,"Regular",247745,256071,"Center",65.36,NA,77,"SHRL 010",NA,NA,"","","","0",""
"18","STTD_1999-03-18 09:25:00",1999-03-18 09:25:00,8,"STTD",NA,10,"Regular",256091,272241,"Center",126.78,NA,91,"STTDL 010",NA,NA,"","","","0",""
"19","SHR_1999-03-24 07:44:00",1999-03-24 07:44:00,39,"SHR",1,10,"Regular",272231,277704,"Center",43,NA,3,"SHRL 011",8,NA,"","","","0",""
"20","STTD_1999-03-24 09:24:00",1999-03-24 09:24:00,9,"STTD",NA,10,"Regular",277707,284918,"Center",56.61,NA,90,"STTDP 011",NA,NA,"","","","0",""
"21","SHR_1999-03-25 07:56:00",1999-03-25 07:56:00,46,"SHR",1,10,"Regular",284908,291989,"Center",55.59,NA,70,"SHRL 012",NA,NA,"","","","0",""
"22","STTD_1999-03-25 09:49:00",1999-03-25 09:49:00,10,"STTD",NA,10,"Regular",291968,298777,"Center",53.45,NA,89,"STTDL 012",NA,NA,"","","","0",""
"23","SHR_1999-03-31 07:55:00",1999-03-31 07:55:00,47,"SHR",1,10,"Regular",298753,304439,"Center",44.64,NA,69,"SHRL 013",NA,NA,"","","","0",""
"24","STTD_1999-03-31 09:45:00",1999-03-31 09:45:00,30,"STTD",1,10,"Regular",304434,330920,"Center",207.92,NA,4,"STTDL 013",156,NA,"STTDL 013 1 NA**STTDL 013 1 larva","","","0",""
"25","SHR_1999-04-01 07:49:00",1999-04-01 07:49:00,48,"SHR",1,10,"Regular",330931,336729,"Center",45.51,NA,68,"SHRL 014",NA,NA,"","","","0",""
"26","STTD_1999-04-01 09:28:00",1999-04-01 09:28:00,31,"STTD",NA,10,"Regular",336720,361994,"Center",198.4,NA,82,"STTDL 014",NA,NA,"","","","0",""
"27","SHR_1999-04-06 07:52:00",1999-04-06 07:52:00,49,"SHR",1,10,"Regular",361975,366552,"Center",36,NA,5,"SHRL 015",13,NA,"","","","0",""
"28","STTD_1999-04-06 09:35:00",1999-04-06 09:35:00,11,"STTD",NA,10,"Regular",366570,382257,"Center",123,NA,6,"STTDL 015",14,NA,"","","","0",""
"29","SHR_1999-04-08 08:00:00",1999-04-08 08:00:00,54,"SHR",1,10,"Regular",382274,387712,"Center",42.69,NA,67,"SHRL 016",NA,NA,"","","","0",""
"30","STTD_1999-04-08 10:00:00",1999-04-08 10:00:00,12,"STTD",NA,10,"Regular",387745,400564,"Center",100.63,NA,88,"STTDL 016",NA,NA,"","","","0",""
"31","SHR_1999-04-14 07:45:00",1999-04-14 07:45:00,35,"SHR",1,10,"Regular",400580,405961,"Center",42.24,NA,79,"SHRL 017",NA,NA,"","","","0",""
"32","STTD_1999-04-14 09:22:00",1999-04-14 09:22:00,32,"STTD",NA,10,"Regular",405980,427611,"Center",170,NA,7,"STTDL 017",15,NA,"","","","0",""
"33","STTD_1999-04-16 09:15:00",1999-04-16 09:15:00,33,"STTD",NA,10,"Regular",427576,447635,"Center",157.46,NA,81,"STTD 018   Check label in bottle it may be marked wrong - IT DOES",NA,NA,"","","","0",""
"34","STTD_1999-04-19 09:30:00",1999-04-19 09:30:00,13,"STTD",NA,13,"Regular",447619,465176,"Center",106,NA,8,"c 550",18,NA,"","","","0",""
"35","STTD_1999-04-22 09:40:00",1999-04-22 09:40:00,14,"STTD",NA,NA,"Regular",465186,465199,"Center",0.1,NA,9,"STTD 020   (flow broken) NI",22,NA,"","","","0",""
"36","STTD_1999-04-23 09:30:00",1999-04-23 09:30:00,15,"STTD",NA,10,"Regular",465221,475438,"Center",80.2,NA,87,"STTDL 021",NA,NA,"","","","0",""
"37","SHR_1999-04-27 07:48:00",1999-04-27 07:48:00,50,"SHR",NA,10,"Regular",475432,475439,"Center",0.06,NA,10,"SHRL 018  only 7 turns?  NI",23,"SBE in morula stage ca. 3.7mm in diameter","","","","",""
"38","STTD_1999-04-27 09:30:00",1999-04-27 09:30:00,502,"STTD",NA,10,"Regular",475446,494609,"Center",NA,NA,380,"STTDL 022; tow",NA,NA,"","","","0",""
"39","STTD_1999-04-29 13:23:00",1999-04-29 13:23:00,16,"STTD",NA,10,"Regular",508928,509338,"Center",3,NA,11,"22023   only 7 turns?  NI; tow",24,NA,"","","","0",""
"40","STTD_1999-04-30 12:00:00",1999-04-30 12:00:00,17,"STTD",NA,10,"Regular",509236,509337,"Center",1,NA,12,"22024  check fluid / Flow meter broken (only 101 turns); tow",26,NA,"","","","0",""
"41","STTD_1999-05-05 10:14:00",1999-05-05 10:14:00,2,"STTD",NA,10,"Regular",31375,51450,"Center",158,NA,14,"22026; tow",31,NA,"","","","0",""
"42","STTD_1999-05-07 11:15:00",1999-05-07 11:15:00,18,"STTD",NA,10,"Regular",68686,86467,"Center",140,NA,15,"22027",35,NA,"","","","0",""
"43","STTD_1999-05-10 10:13:00",1999-05-10 10:13:00,19,"STTD",NA,10,"Regular",86472,108705,"Center",175,NA,16,"22028  tow; flood",38,NA,"","","","0",""
"44","SHR_1999-05-12 08:26:00",1999-05-12 08:26:00,51,"SHR",NA,10,"Regular",108678,132092,"Center",184,NA,23,"12019",72,"ASE dead-1 live (morula stage)-5 egg size: 3.2 to 3.5mm in diameter","12019 NA ASE dead-1 live (morula stage)-5 egg size: 3.2 to 3.5mm in diameter**12019 NA NA","","","",""
"45","STTD_1999-05-12 10:45:00",1999-05-12 10:45:00,20,"STTD",NA,10,"Regular",132120,153672,"Center",169,NA,17,"22029",42,NA,"","","","0",""
"46","STTD_1999-05-17 10:05:00",1999-05-17 10:05:00,21,"STTD",NA,10,"Regular",168517,191612,"Center",181,NA,18,"22030; tow",46,NA,"","","","0",""
"47","STTD_1999-05-21 10:41:00",1999-05-21 10:41:00,22,"STTD",NA,10,"Regular",191635,206039,"Center",113,NA,19,"22031",51,NA,"","","","0",""
"48","STTD_1999-05-28 09:50:00",1999-05-28 09:50:00,23,"STTD",NA,10,"Regular",220088,240467,"Center",160,NA,20,"22032",56,NA,"","","","0",""
"49","STTD_1999-06-01 09:35:00",1999-06-01 09:35:00,4,"STTD",NA,10,"Regular",240464,263877,"Center",184,NA,21,"22033",61,NA,"","","","0",""
"50","SHR_1999-06-07 09:52:00",1999-06-07 09:52:00,52,"SHR",NA,10,"Regular",263896,286608,"Center",178,NA,24,"TOW",75,"dead:5, morula stage:24, early embryo stage:6","TOW NA dead:5, morula stage:24, early embryo stage:6**TOW NA NA**TOW NA larva","","","",""
