,event_id,Datetime,Date,Time,PhysicalDataID,Station,YSI,WeatherCode,Tide,FlowDirection,ConditionCode,VegetationRank,MicrocystisVisualRank,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,MeterSetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,TowLocation,SampleVolume,FieldComments_WQ,DataCorrectionComments,SamplingAltered,MeshSize,Year,Month,MonthAbb,Flag_PQC,Comment_PQC,LarvalDataID,FieldComments,LarvalCatchID,SpeciesCode,Stage,TL,FL,Count,LabComments,CommonName,ScientificName,TotalCountSpecies,LifeStage,LarvalLifeStage,CountIndividual,Flag_SAMP,Comment_SAMP,Flag_LAB,Comment_LAB
1,SHR_1999-02-16 10:00:00,2/16/1999 10:00,2/16/1999,10:00:00,53,SHR,NA,RAN,NA,NA,1,NA,NA,7.8,NA,NA,NA,NA,NA,NA,10,Regular,501268,600550,Center,1085.94,NA,NA,NA,NA,1999,2,Feb,NA,NA,59,plankton  SHRP0001  1 salmon caught  the meter value seemed swapped so changed N.I.,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
2,SHR_1999-02-17 09:37:00,2/17/1999 9:37,2/17/1999,9:37:00,36,SHR,NA,CLD,NA,NA,1,NA,NA,7.8,NA,NA,NA,NA,NA,NA,10,Regular,627710,637302,Center,75.3,NA,NA,NA,NA,1999,2,Feb,NA,NA,1,SHRP 002,1,PRS,L,NA,NA,1,NA,Prickly Sculpin,Cottus asper,NA,NA,NA,NA,,,,
3,SHR_1999-02-24 08:23:00,2/24/1999 8:23,2/24/1999,8:23:00,40,SHR,NA,CLR,NA,NA,1,NA,NA,9.4,NA,NA,NA,NA,NA,NA,10,Regular,885838,896439,Center,83.22,NA,NA,NA,NA,1999,2,Feb,NA,NA,76,SHRL 003   Flow Meter # 12972,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4,STTD_1999-02-24 11:15:00,2/24/1999 11:15,2/24/1999,11:15:00,6,STTD,NA,CLD,NA,NA,NA,NA,NA,9.6,0.21,NA,NA,NA,NA,NA,10,Regular,896446,910682,Center,111.75,NA,NA,NA,NA,1999,2,Feb,NA,NA,93,STTDL 003,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
5,SHR_1999-02-25 07:45:00,2/25/1999 7:45,2/25/1999,7:45:00,41,SHR,NA,CLR,NA,NA,1,NA,NA,9.78,NA,NA,NA,NA,NA,NA,10,Regular,911093,921750,Center,83.66,NA,NA,NA,NA,1999,2,Feb,NA,NA,75,SHRL 004,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
6,STTD_1999-02-25 09:45:00,2/25/1999 9:45,2/25/1999,9:45:00,25,STTD,NA,CLR,NA,NA,1,NA,NA,10,0.24,NA,NA,NA,NA,NA,10,Regular,921744,937547,Center,124.05,NA,NA,NA,NA,1999,2,Feb,NA,NA,86,STTDL 004,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7,SHR_1999-03-02 08:05:00,3/2/1999 8:05,3/2/1999,8:05:00,42,SHR,NA,CLR,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,10,Regular,937575,949033,Center,89.95,NA,NA,NA,NA,1999,3,Mar,NA,NA,74,SHRL 005,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
8,STTD_1999-03-02 09:45:00,3/2/1999 9:45,3/2/1999,9:45:00,26,STTD,NA,CLR,NA,NA,1,NA,NA,10.2,0.27,NA,NA,NA,NA,NA,10,Regular,949060,962907,Center,108.7,NA,NA,NA,NA,1999,3,Mar,NA,NA,85,STTDL 005,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,SHR_1999-03-04 07:40:00,3/4/1999 7:40,3/4/1999,7:40:00,43,SHR,NA,CLR,NA,NA,1,NA,NA,10.5,NA,NA,NA,NA,NA,NA,10,Regular,135590,146175,Center,83.09,NA,NA,NA,NA,1999,3,Mar,NA,NA,73,SHRL 006,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
10,SHR_1999-03-09 07:45:00,3/9/1999 7:45,3/9/1999,7:45:00,44,SHR,NA,CLR,NA,NA,1,NA,NA,8.9,0.47,NA,NA,NA,NA,NA,10,Regular,160056,170551,Center,82.39,NA,NA,NA,NA,1999,3,Mar,NA,NA,72,SHRL 007,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11,STTD_1999-03-09 09:45:00,3/9/1999 9:45,3/9/1999,9:45:00,28,STTD,NA,CLR,NA,NA,1,NA,NA,9.4,0.28,NA,NA,NA,NA,NA,10,Regular,170556,190003,Center,153,NA,NA,NA,NA,1999,3,Mar,NA,NA,2,STTDL 007,5,PRS,L,NA,NA,1,NA,Prickly Sculpin,Cottus asper,NA,NA,NA,NA,,,,
12,STTD_1999-03-09 09:45:00,3/9/1999 9:45,3/9/1999,9:45:00,28,STTD,NA,CLR,NA,NA,1,NA,NA,9.4,0.28,NA,NA,NA,NA,NA,10,Regular,170556,190003,Center,153,NA,NA,NA,NA,1999,3,Mar,NA,NA,2,STTDL 007,6,LP,L,NA,NA,1,NA,Logperch,Percina macrolepida,NA,NA,NA,NA,,,,
13,STTD_1999-03-09 09:45:00,3/9/1999 9:45,3/9/1999,9:45:00,28,STTD,NA,CLR,NA,NA,1,NA,NA,9.4,0.28,NA,NA,NA,NA,NA,10,Regular,170556,190003,Center,153,NA,NA,NA,NA,1999,3,Mar,NA,NA,2,STTDL 007,7,SASU,E,NA,NA,1,"dead egg of SASU, egg diameter:ca 3.1-3.2mm",Sacramento Sucker,Catostomus occidentalis,NA,NA,NA,NA,,,1,LAB
14,SHR_1999-03-11 07:45:00,3/11/1999 7:45,3/11/1999,7:45:00,45,SHR,NA,CLR,NA,NA,1,NA,NA,8.9,0.5,NA,NA,NA,NA,NA,10,Regular,190019,200443,Center,81.83,NA,NA,NA,NA,1999,3,Mar,NA,NA,71,SHRL 008,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,STTD_1999-03-11 09:28:00,3/11/1999 9:28,3/11/1999,9:28:00,29,STTD,NA,CLR,NA,NA,NA,NA,NA,9.4,0.32,NA,NA,NA,NA,NA,10,Regular,200437,219692,Center,151.15,NA,NA,NA,NA,1999,3,Mar,NA,NA,83,STTDL 008,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
16,SHR_1999-03-16 07:56:00,3/16/1999 7:56,3/16/1999,7:56:00,37,SHR,NA,CLD,NA,NA,1,NA,NA,10.5,0.56,NA,NA,NA,NA,NA,10,Regular,219700,228524,Center,69.27,NA,NA,NA,NA,1999,3,Mar,NA,NA,78,SHRL 009,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
17,STTD_1999-03-16 10:00:00,3/16/1999 10:00,3/16/1999,10:00:00,7,STTD,NA,CLD,NA,NA,NA,NA,NA,12.2,0.27,NA,NA,NA,NA,NA,10,Regular,228528,247742,Center,150.83,NA,NA,NA,NA,1999,3,Mar,NA,NA,92,STTDL 009,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
18,SHR_1999-03-18 07:35:00,3/18/1999 7:35,3/18/1999,7:35:00,38,SHR,NA,CLD,NA,NA,1,NA,NA,11.1,0.42,NA,NA,NA,NA,NA,10,Regular,247745,256071,Center,65.36,NA,NA,NA,NA,1999,3,Mar,NA,NA,77,SHRL 010,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
19,STTD_1999-03-18 09:25:00,3/18/1999 9:25,3/18/1999,9:25:00,8,STTD,NA,CLD,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,10,Regular,256091,272241,Center,126.78,NA,NA,NA,NA,1999,3,Mar,NA,NA,91,STTDL 010,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
20,SHR_1999-03-24 07:44:00,3/24/1999 7:44,3/24/1999,7:44:00,39,SHR,NA,CLD,NA,NA,1,NA,NA,11.7,0.5,NA,NA,NA,NA,NA,10,Regular,272231,277704,Center,43,NA,NA,NA,NA,1999,3,Mar,NA,NA,3,SHRL 011,8,LP,L,NA,NA,1,NA,Logperch,Percina macrolepida,NA,NA,NA,NA,,,,
21,STTD_1999-03-24 09:24:00,3/24/1999 9:24,3/24/1999,9:24:00,9,STTD,NA,CLD,NA,NA,NA,NA,NA,13.9,0.16,NA,NA,NA,NA,NA,10,Regular,277707,284918,Center,56.61,NA,NA,NA,NA,1999,3,Mar,NA,NA,90,STTDP 011,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
