event_id,Datetime,Station,WY,WYClass,Inundation,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,ConditionCode,FieldComments,MeterSetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,Flowdiff,FlowdiffAdj,Volume,VolumeAdj,LabComments,SpeciesCode,CommonName,ScientificName,LifeStage,Count,CPUE,CPUEAdj,FlagPhys,CommentPhys,FlagSamp,CommentSamp,FlagLab,CommentLab,FlagFM,CommentFM,FlagCPUE,CommentCPUE,QCFlags,QCComments
SHR_1999-02-16 10:00:00,2/16/1999 10:00,SHR,1999,W,TRUE,RAN,NA,NA,7.8,NA,NA,NA,NA,NA,NA,1,plankton  SHRP0001  1 salmon caught  the meter value seemed swapped so changed N.I.,10,Regular,501268,600550,99282,8195,304.9532977,25.17165523,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,FM,NA,NA,0   0   3   NA,NA   NA   FM   NA
SHR_1999-02-17 09:37:00,2/17/1999 9:37,SHR,1999,W,TRUE,CLD,NA,NA,7.8,NA,NA,NA,NA,NA,NA,1,SHRP 002,10,Regular,627710,637302,9592,9592,29.46266223,29.46266223,NA,PRS,Prickly Sculpin,Cottus asper,NA,1,0.034,0.034,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-02-24 08:23:00,2/24/1999 8:23,SHR,1999,W,TRUE,CLR,NA,NA,9.4,NA,NA,NA,NA,NA,NA,1,SHRL 003   Flow Meter # 12972,10,Regular,885838,896439,10601,10601,32.56189349,32.56189349,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-02-24 11:15:00,2/24/1999 11:15,STTD,1999,W,TRUE,CLD,NA,NA,9.6,0.21,NA,NA,NA,NA,NA,NA,STTDL 003,10,Regular,896446,910682,14236,14236,43.72711213,43.72711213,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-02-25 07:45:00,2/25/1999 7:45,SHR,1999,W,TRUE,CLR,NA,NA,9.78,NA,NA,NA,NA,NA,NA,1,SHRL 004,10,Regular,911093,921750,10657,10657,32.73390236,32.73390236,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-02-25 09:45:00,2/25/1999 9:45,STTD,1999,W,TRUE,CLR,NA,NA,10,0.24,NA,NA,NA,NA,NA,1,STTDL 004,10,Regular,921744,937547,15803,15803,48.54028891,48.54028891,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-02 08:05:00,3/2/1999 8:05,SHR,1999,W,TRUE,CLR,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,SHRL 005,10,Regular,937575,949033,11458,11458,35.19424352,35.19424352,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-02 09:45:00,3/2/1999 9:45,STTD,1999,W,TRUE,CLR,NA,NA,10.2,0.27,NA,NA,NA,NA,NA,1,STTDL 005,10,Regular,949060,962907,13847,13847,42.5322648,42.5322648,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
SHR_1999-03-04 07:40:00,3/4/1999 7:40,SHR,1999,W,TRUE,CLR,NA,NA,10.5,NA,NA,NA,NA,NA,NA,1,SHRL 006,10,Regular,135590,146175,10585,10585,32.51274809,32.51274809,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
STTD_1999-03-04 10:00:00,3/4/1999 10:00,STTD,1999,W,TRUE,CLR,NA,NA,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,10,Regular,146182,160047,13865,13865,42.58755336,42.58755336,NA,NODATA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0   0   NA   NA,NA   NA   NA   NA
