"PhysicalDataID","Station","Date","YSI","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","FlowDirection","VegetationRank","FieldComments_WQ","DataCorrectionComments","ConditionCode","SamplingAltered","MeterSetTime","FlowMeterStart","FlowMeterEnd","FlowMeterSpeed","FieldComments","MeshSize","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
2010,"STTD",2020-01-06,1,"10:19:00","CLR","Flood",1,9.1,0.41,464,666,7.45,9.37,13.5,2020-01-06 10:19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","1","Jan","",""
2009,"STTD",2020-01-27,1,"09:41:00","CLR","Ebb",1,11.5,0.38,561,757,7.55,8.93,17.1,2020-01-27 09:41:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","1","Jan","",""
2007,"SHR",2020-01-28,3,"09:30:00","CLD","High",1,11.4,0.5,139,188,7.46,10.49,19.4,2020-01-28 09:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","1","Jan","",""
2005,"SHR",2020-01-07,3,"09:27:00","FOG","Ebb",1,9.6,0.9,139,197,7.42,10.9,14,2020-01-07 09:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","1","Jan","",""
2003,"SHR",2019-12-27,1,"09:40:00","CLR","Ebb",1,8.9,0.7,120,175,7.29,10.72,13.2,2019-12-27 09:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","12","Dec","",""
2001,"STTD",2019-12-26,3,"10:15:00","CLR","Ebb",1,9,0.4,453,653,7.48,8.43,20.6,2019-12-26 10:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","12","Dec","",""
1999,"SHR",2019-12-10,2,"09:10:00","CLD","Ebb",1,12,0.45,131,174,7.33,9.27,24.6,2019-12-10 09:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","12","Dec","",""
1997,"STTD",2019-12-09,3,"10:30:00","CLD","Flood",1,12.5,0.39,421,553,7.47,6.47,26.3,2019-12-09 10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","12","Dec","",""
1996,"SHR",2019-11-25,2,"09:35:00","CLR","Ebb",1,12,1.6,102,136,7.57,10.05,5.3,2019-11-25 09:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","11","Nov","",""
1994,"STTD",2019-11-26,3,"09:57:00","CLD","Ebb",1,11.4,0.57,150,202,7.83,9.62,13.9,2019-11-26 09:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","11","Nov","",""
