,event_id,Datetime,PhysicalDataID,Station,Date,YSI,Time,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,FlowDirection,VegetationRank,FieldComments_WQ,DataCorrectionComments,SamplingAltered,MeshSize,Year,Month,MonthAbb,Flag_PQC,Comment_PQC,InvertDataID,ConditionCode,SetTime,FlowMeterStart,FlowMeterEnd,FlowMeterSpeed,FieldComments,InvertCode,SampleVolume,InvertCatchID,OrganismID,Count,Classification,Order,Family,Larvae,Pupae,Nymphs,Emergents,Adults,NA,SampleID,Attribute,TaxonName,Category,LifeStage,wet_mass,dry_mass,LabComments,condition,SubsampleNumber,Dilution Volume,SlideCount,Flag_SAMP,Comment_SAMP,Flag_LAB,Comment_LAB
1,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,628,23,1,Other Aquatic,NA,Dorylaimidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
2,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,630,4,10,Other Aquatic,NA,Naididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
3,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,631,5,3,Other Aquatic,NA,Tubificidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
4,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,632,2,4,Other Aquatic,NA,Enchytraeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
5,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,633,14,2,Zooplankton,Ostracoda,Cypridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
6,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,634,13,1,Zooplankton,Mysidacea,Mysidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
7,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,635,9,2,Zooplankton,Amphipoda,Corophiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
8,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,636,41,1,Insect,Ephemeroptera,Baetidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
9,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,637,40,1,Insect,Ephemeroptera,Caenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
10,SHR_1998-02-03 09:13:00,2/3/1998 9:13,93,SHR,2/3/1998,NA,9:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,107,NA,36,NA,NA,Regular,No meter values on datasheet,1-203,NA,638,46,4,Insect,Odonata,Coenagrionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
