InvertCatchID,InvertDataID,OrganismID,Count,InvertCode,Classification,Order,Family,Larvae,Pupae,Nymphs,Emergents,Adults,NA
1,3,4,1,11-001,Other Aquatic,,Naididae,,,,,,
2,3,5,2,11-001,Other Aquatic,,Tubificidae,,,,,,
3,3,9,2,11-001,Zooplankton,Amphipoda,Corophiidae,,,,,,
4,3,10,2,11-001,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
5,3,12,1,11-001,Zooplankton,Amphipoda,Taltridae,,,,,,
6,3,41,2,11-001,Insect,Ephemeroptera,Baetidae,,,,,,
7,3,42,2,11-001,Insect,Ephemeroptera,Ephemerellidae,,,,,,
8,3,48,1,11-001,Insect,Trichoptera,Hydropsychidae,,,,,,
9,3,33,1,11-001,Insect,Diptera,Chaoboridae,,,,,,
10,3,34,9,11-001,Insect,Diptera,Chironomidae,,,,,,
11,3,29,1,11-001,Other Aquatic,Hydrachnida,Sperchontidae,,,,,,
12,3,19,1,11-001,Other Aquatic,Veneroida,Corbiculidae,,,,,,
13,3,64,1,11-001,Terrestrial,Diptera,,,,,,,
14,4,4,5,11-003,Other Aquatic,,Naididae,,,,,,
15,4,5,1,11-003,Other Aquatic,,Tubificidae,,,,,,
16,4,9,2,11-003,Zooplankton,Amphipoda,Corophiidae,,,,,,
17,4,10,2,11-003,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
18,4,41,1,11-003,Insect,Ephemeroptera,Baetidae,,,,,,
19,4,43,1,11-003,Insect,Ephemeroptera,Heptageniidae,,,,,,
20,4,46,1,11-003,Insect,Odonata,Coenagrionidae,,,,,,
21,4,30,1,11-003,Insect,Coleoptera,Dytiscidae,,,,,,
22,4,32,1,11-003,Insect,Diptera,Ceratopogonidae,,,,,,
23,4,34,8,11-003,Insect,Diptera,Chironomidae,,,,,,
24,5,4,2,11-006,Other Aquatic,,Naididae,,,,,,
25,5,5,1,11-006,Other Aquatic,,Tubificidae,,,,,,
26,5,9,2,11-006,Zooplankton,Amphipoda,Corophiidae,,,,,,
27,5,10,2,11-006,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
28,5,12,1,11-006,Zooplankton,Amphipoda,Taltridae,,,,,,
29,5,33,1,11-006,Insect,Diptera,Chaoboridae,,,,,,
30,5,34,9,11-006,Insect,Diptera,Chironomidae,,,,,,
31,5,58,1,11-006,Terrestrial,Araneida,,,,,,,
32,6,4,1,11-007,Other Aquatic,,Naididae,,,,,,
33,6,9,1,11-007,Zooplankton,Amphipoda,Corophiidae,,,,,,
34,6,42,1,11-007,Insect,Ephemeroptera,Ephemerellidae,,,,,,
35,6,32,1,11-007,Insect,Diptera,Ceratopogonidae,,,,,,
36,6,34,2,11-007,Insect,Diptera,Chironomidae,,,,,,
37,6,35,1,11-007,Insect,Diptera,Empididae,,,,,,
38,6,66,1,11-007,Terrestrial,Hymenoptera,,,,,,,
39,7,18,1,11-008,Other Aquatic,,Hydridae,,,,,,
40,7,4,8,11-008,Other Aquatic,,Naididae,,,,,,
41,7,5,1,11-008,Other Aquatic,,Tubificidae,,,,,,
42,7,8,1,11-008,Other Aquatic,,Sabellidae,,,,,,
43,7,9,2,11-008,Zooplankton,Amphipoda,Corophiidae,,,,,,
44,7,34,5,11-008,Insect,Diptera,Chironomidae,,,,,,
45,7,38,1,11-008,Insect,Diptera,Simulidae,,,,,,
46,8,18,2,11-009,Other Aquatic,,Hydridae,,,,,,
47,8,4,7,11-009,Other Aquatic,,Naididae,,,,,,
48,8,14,1,11-009,Zooplankton,Ostracoda,Cypridae,,,,,,
49,8,9,2,11-009,Zooplankton,Amphipoda,Corophiidae,,,,,,
50,8,10,2,11-009,Zooplankton,Amphipoda,Crangonyctidae,,,,,,
51,8,32,1,11-009,Insect,Diptera,Ceratopogonidae,,,,,,
52,8,34,10,11-009,Insect,Diptera,Chironomidae,,,,,,
53,8,38,1,11-009,Insect,Diptera,Simulidae,,,,,,
54,8,28,1,11-009,Other Aquatic,Hydrachnida,Lebertiidae,,,,,,
55,9,18,1,11-011,Other Aquatic,,Hydridae,,,,,,
56,9,4,7,11-011,Other Aquatic,,Naididae,,,,,,
57,9,8,1,11-011,Other Aquatic,,Sabellidae,,,,,,
