PhysicalDataID,InvertDataID,ConditionCode,StartTime,StopTime,SetTime,DriftStartMeter,DriftEndMeter,FlowMeterSpeed,FieldComments,EnteredBy,QA/QC'dBy,InvertCode,SampleVolume
53,3,1,10:00,10:30,30,302638,440974,Regular,drift sample  SHRD0001,,nikemiyagi,11-001,1365.38
40,4,1,8:25,8:55,30,709626,734344,Regular,SHRD 003   Flow Meter # 12972,,nikemiyagi,11-003,104.63
43,5,1,7:44,8:14,30,135590,167345,Regular,SHRD 006   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-006,104.47
44,6,1,7:47,8:17,30,160056,191541,Regular,SHRD 007   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-007,103.59
45,7,1,7:16,7:46,30,190019,200443,Regular,SHRD 008   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-008,102.88
37,8,1,7:58,8:28,30,219700,246172,Regular,SHRD 009   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-009,87.09
39,9,1,7:46,8:16,30,272231,288650,Regular,SHRD 011   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-011,54.02
48,10,1,7:51,8:21,30,330931,348325,Regular,SHRD 014   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-014,57.23
35,11,1,7:47,7:17,30,400580,416723,Regular,SHRD 017   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,11-017,53.11
50,12,1,7:50,8:20,30,475432,475439,Regular,SHRD 018,,nikemiyagi,11-018,0.07
34,13,1,13:10,13:40,30,440990,497917,Regular,STTDD 001 Drift sample,,nikemiyagi,21-001,1245.62
6,14,1,11:21,11:51,30,744335,814849,Regular,STTDD 003,,nikemiyagi,21-003,140.51
27,15,1,9:51,10:21,30,146182,187777,Regular,STTDD 006   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,21-006,136.85
28,16,1,9:44,10:14,30,170556,228897,Regular,STTDD 007   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,21-007,191.94
29,17,1,9:30,10:00,30,200437,258202,Regular,STTDD 008   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,21-008,190.05
7,18,1,10:00,10:30,30,228528,286170,Regular,STTDD 009   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,21-009,189.64
9,19,1,9:25,9:55,30,277707,299340,Regular,STTDD 011   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,21-011,71.17
31,20,1,9:33,10:03,30,336720,412542,Regular,STTDD 014   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,nikemiyagi,21-014,249.45
