YBFMP,Date,Time,Station Code,Use sample code from FLIMS/WDL to connect field data and lab data,,,,,,DRIFT.COUNT,DRIFT.LIFE,,,,
Measuring program short name,Sampling Event Date,Sampling Event Time,Sampling Area Number,Sampling Event Number,Sample ID,Observation Type Short Name,Attribute,Observable,Category,Value,Value,wet_mass,dry_mass,lab_comments,condition
,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,WDL_SAM code,sample_id,,,,,,,,,,
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Acari,Terrestrial Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,3,N/A,0.0027,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,20,Adults,0.0087,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,6,Larvae,0.0087,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Pupae,0.0087,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Coenagrionidae,Aquatic Insect,1,Nymphs,0.0072,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,2,Adults,0.0042,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Larvae,0.0042,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Insect,15,Adults,0.0043,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,1,Nymphs,<0.001,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,6,Adults,0.0052,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Pupae,0.0052,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,10,Adults,0.0072,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Larvae,0.0072,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,11,N/A,0.0124,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydroptilidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydroptilidae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,9,Adults,0.1474,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Physidae,Aquatic Non-Insect,1,N/A,0.0038,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Planorbidae,Aquatic Non-Insect,10,N/A,0.0293,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Psocoptera,Aquatic Insect,2,Adults,0.0038,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Psychodidae,Aquatic Insect,3,Adults,0.0013,<0.001,NA,N
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,20200106_1019_STTD_DRIFT,DRIFT,Drift Invertebrates,Thyanoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Acari,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Actinopterygii,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,2,N/A,0.004,<0.001,NA,N
YBFMP,01/07/2020,09:27,SHR,ES0120B0003,20200107_0927_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1048,Adults,0.4947,<0.001,NA,N
