Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,CommonName,OrganismID,TaxonName,TaxonRank
nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,No Catch,0,nocatch,nocatch
Animalia,Annelida,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Glossiphoniidae,,,Glossiphoniidae,1,Glossiphoniidae,Family
Animalia,Annelida,,Clitellata,Oligochaeta,,,Enchytraeida,,,,Enchytraeidae,,,Enchytraeidae,2,Enchytraeidae,Family
Animalia,Annelida,,Clitellata,Oligochaeta,,,Opisthopora,Lumbricina,,,,,,Lumbricina,3,Lumbricina,Suborder
Animalia,Annelida,,Clitellata,Oligochaeta,,,Tubificida,,,,Naididae,,,Naididae,4,Naididae,Family
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,,,,,Cyclopoid,7,Cyclopoida,Order
Animalia,Annelida,Aclitellata,Polychaeta,Palpata,,,Aciculata,Phyllodocida,,,Nereididae,,,Nereididae,7,Nereididae,Family
Animalia,Annelida,Aclitellata,Polychaeta,Palpata,,,Canalipalpata,Sabellida,,,Sabellidae,,,Sabellidae,8,Sabellidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Corophiidae,,,Corophiidae,9,Corophiidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Crangonyctidae,,,Crangonyctidae,10,Crangonyctidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Gammaridae,,,Gammaridae,11,Gammaridae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Talitridae,,,Talitridae,12,Talitridae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Mysida,,,,Mysidae,,,Mysidae,13,Mysidae,Family
Animalia,Arthropoda,Crustacea,Ostracoda,,,,Podocopida,Cypridocopina,,Cypridoidea,Cyprididae,,,Cyprididae,14,Cyprididae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Hyalellidae,,,Hyalellidae,15,Hyalellidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Astacidae,,,Astacidae,16,Astacidae,Family
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cyprinodontiformes,,,,Poeciliidae,Gambusia,affinis,Western Mosquitofish,17,Gambusia affinis,Species
Animalia,Cnidaria,,Hydrozoa,,,,Anthoathecatae,,,,Hydridae,,,Hydridae,18,Hydridae,Family
Animalia,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Corbiculoidea,Corbiculidae,,,Corbiculidae,19,Corbiculidae,Family
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,Lymneoidea,Physidae,,,Physidae,20,Physidae,Family
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,Planorboidea,Planorbidae,,,Planorbidae,21,Planorbidae,Family
Animalia,Mollusca,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,Ancylidae,22,Ancylidae,Family
Animalia,Nematoda,,Enoplea,Dorylaimia,,,Dorylaimida,Dorylaimina,,Dorylaimoidea,Dorylaimidae,,,Dorylaimidae,23,Dorylaimidae,Family
Animalia,Nematoda,,,,,,Mermithida,,,,Mermithidae,,,Mermithidae,24,Mermithidae,Family
Animalia,Nemertea,,Enopla,,,,Hoplonemertea,Monostilifera,,,Tetrastemmatidae,,,Tetrastemmatidae,25,Tetrastemmatidae,Family
Animalia,Platyhelminthes,,Turbellaria,,,,Tricladida,,,,Planariidae,,,Planariidae,26,Planariidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Eylaidae,,,Eylaidae,27,Eylaidae,Family
Animalia,Arthropoda,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,Lebertoidea,Lebertiidae,,,Lebertiidae,28,Lebertiidae,Family
Animalia,Arthropoda,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,Lebertoidea,Sperchontidae,,,Sperchontidae,29,Sperchontidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,,,Dytiscidae,30,Dytiscidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Helophoridae,,,Helophoridae,31,Helophoridae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Ceratopogonidae,,,Ceratopogonidae,32,Ceratopogonidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Chaoboridae,,,Chaoboridae,33,Chaoboridae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Chironomidae,,,Chironomidae,34,Chironomidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Empididae,,,Empididae,35,Empididae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Ephydridae,,,Ephydridae,36,Ephydridae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Psychodidae,,,Psychodidae,37,Psychodidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Simuliidae,,,Simuliidae,38,Simuliidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,,,,Tipulidae,,,Tipulidae,39,Tipulidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Caenidae,,,Caenidae,40,Caenidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Baetidae,,,Baetidae,41,Baetidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,Ephemerellidae,42,Ephemerellidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,Heptageniidae,43,Heptageniidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Corixidae,,,Corixidae,44,Corixidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Notonectidae,,,Notonectidae,45,Notonectidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Zygoptera,,,Coenagrionidae,,,Coenagrionidae,46,Coenagrionidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Libellulidae,,,Libellulidae,47,Libellulidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,,,Hydropsychidae,48,Hydropsychidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Culicidae,,,Culicidae,49,Culicidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Dixidae,,,Dixidae,50,Dixidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Gyrinidae,,,Gyrinidae,51,Gyrinidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Hydraenidae,,,Hydraenidae,52,Hydraenidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Melyridae,,,Melyridae,53,Melyridae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Sciomyzidae,,,Sciomyzidae,54,Sciomyzidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Staphylinidae,,,Staphylinidae,55,Staphylinidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Leptoceridae,,,Leptoceridae,56,Leptoceridae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,Acari,57,Acari,Subclass
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Araneae,Araneida,,,,,,Araneida,58,Araneida,Suborder
Animalia,Arthropoda,,Chilopoda,,,,Geophilomorpha,,,,,,,Geophilomorpha,59,Geophilomorpha,Order
Animalia,Arthropoda,,Chilopoda,,,,Lithobiomorpha,,,,,,,Lithobiomorpha,60,Lithobiomorpha,Order
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,,,,,,,Isopoda,61,Isopoda,Order
Animalia,Arthropoda,Myriapoda,Diplopoda,,,,Julida,,,,,,,Julida,62,Julida,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,,,,,,,Coleoptera,63,Coleoptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,,,,,,,Diptera,64,Diptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hymenoptera,,,,,,,Hymenoptera,66,Hymenoptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Psocoptera,,,,,,,Psocoptera,67,Psocoptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,,,,Collembola,,,,,,,Collembola,68,Collembola,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Dermaptera,,,,,,,Dermaptera,69,Dermaptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,,,,,,,Hemiptera,71,Hemiptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Isoptera,,,,,,,Isoptera,72,Isoptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Lepidoptera,,,,,,,Lepidoptera,73,Lepidoptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,,,,,,,Neuroptera,74,Neuroptera,Order
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Ephemeridae,,,Ephemeridae,76,Ephemeridae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Hygrobatidae,,,Hygrobatidae,77,Hygrobatidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,Furcatergalia,Pannota,Ephemerelloidea,Tricorythidae,,,Tricorythidae,78,Tricorythidae,Family
Animalia,Chordata,Vertebrata,,,,,,,,,,,,Fish,79,Vertebrata,Subphylum
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Haliplidae,,,Haliplidae,80,Haliplidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Hydrophilidae,,,Hydrophilidae,81,Hydrophilidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Tabanidae,,,Tabanidae,82,Tabanidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Psychomyiidae,,,Psychomyiidae,83,Psychomyiidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Thysanura,,,,,,,Thysanura,84,Thysanura,Order
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Thysanoptera,,,,,,,Thysanoptera,85,Thysanoptera,Order
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Isopoda,Asellota,,Aselloidea,Asellidae,,,Asellidae,86,Asellidae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Caridea,Crangonoidea,Crangonidae,,,Crangonidae,87,Crangonidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydroptilidae,,,Hydroptilidae,88,Hydroptilidae,Family
Animalia,Annelida,,Clitellata,Oligochaeta,,,Branchiobdellida,,,,Branchiobdellidae,,,Branchiobdellidae,89,Branchiobdellidae,Family
Animalia,Annelida,,Clitellata,Oligochaeta,,,Crassiclitellata,Lumbricina,,,Glossoscolecidae,,,Glossoscolecidae,90,Glossoscolecidae,Family
Animalia,Annelida,,Clitellata,Hirudinea,Euhirudinea,,Arhynchobdellida,Erpobdelliformes,,,Erpobdellidae,,,Erpobdellidae,91,Erpobdellidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Aeshnidae,,,Aeshnidae,92,Aeshnidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Capniidae,,,Capniidae,93,Capniidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Unionicolidae,,,Unionicolidae,94,Unionicolidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Veliidae,,,Veliidae,95,Veliidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Muscidae,,,Muscidae,96,Muscidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Stratiomyidae,,,Stratiomyidae,97,Stratiomyidae,Family
Animalia,Arthropoda,Crustacea,Ostracoda,,,,Podocopida,Cypridocopina,,Cypridoidea,Candonidae,,,Candonidae,98,Candoniidae,Family
Animalia,Arthropoda,,Chilopoda,,,,,,,,,,,Chilopoda,100,Chilopoda,Class
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Carabidae,,,Carabidae,101,Carabidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Gomphidae,,,Gomphidae,102,Gomphidae,Family
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Arrenuridae,,,Arrenuridae,103,Arrenuridae,Family
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,,,Palaemonidae,104,Palaemonidae,Family
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,Lymneoidea,Lymnaeidae,,,Lymnaeidae,106,Lymnaeidae,Family
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Leptohyphidae,,,Leptohyphidae,107,Leptohyphidae,Family
