Station,Time,Sampling number,Observable,Value,Count,Category,Life Stage
STTD,2/3/1998 7:59,45222/1/1,Ephydridae,1,1,Aquatic Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Collembola,1,1,Terrestrial Non-Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Araneida,2,2,Terrestrial Non-Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Coleoptera,2,2,Terrestrial Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Hydrophilidae,1,1,Aquatic Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Cyprididae,3,3,Aquatic Non-Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Coenagrionidae,1,1,Aquatic Insects,N/A
STTD,2/3/1998 7:59,45222/1/1,Chironomidae,64,64,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Coleoptera,56,56,Terrestrial Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Araneida,4,4,Terrestrial Non-Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Muscidae,1,1,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Collembola,6,6,Terrestrial Non-Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Dytiscidae,4,4,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Hemiptera,3,1,Terrestrial Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Hemiptera,3,2,Terrestrial Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Capniidae,2,2,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Chironomidae,369,369,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Corixidae,2,2,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Geophilomorpha,1,1,Terrestrial Non-Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Ephydridae,6,6,Aquatic Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Cyprididae,2,2,Aquatic Non-Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Hymenoptera,2,2,Terrestrial Insects,N/A
STTD,2/4/1998 11:21,45231/1/1,Diptera,1,1,Terrestrial Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Ephydridae,21,21,Aquatic Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Hydrophilidae,2,2,Aquatic Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Hemiptera,4,4,Terrestrial Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Stratiomyidae,1,1,Aquatic Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Cyprididae,6,6,Aquatic Non-Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Chironomidae,272,272,Aquatic Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Lepidoptera,1,1,Terrestrial Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Araneida,1,1,Terrestrial Non-Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Enchytraeidae,2,2,Aquatic Non-Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Corixidae,11,11,Aquatic Insects,N/A
STTD,2/11/1998 10:23,45234/1/1,Physidae,7,7,Aquatic Non-Insects,N/A
