Station,Time,Date,Number,Name,Stage,Insect/Non-Insect,Individuals,LabComments
STTD,9:58,4/22/2019,3109,Araneae,N/A,Terrestrial Non-Insect,1,
STTD,9:58,4/22/2019,28,Naididae,N/A,Aquatic Non-Insect,20,
STTD,9:58,4/22/2019,3138,Hydridae,N/A,Aquatic Non-Insect,1,
STTD,9:58,4/22/2019,693,Diptera,Adults,Terrestrial Insect,1,
STTD,9:58,4/22/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
STTD,9:58,4/22/2019,765,Chironomidae,Pupae,Aquatic Insect,2,
STTD,9:58,4/22/2019,765,Chironomidae,Adults,Aquatic Insect,47,
STTD,9:58,4/22/2019,720,Psychodidae,Adults,Aquatic Insect,1,
STTD,9:58,4/22/2019,129,Baetidae,Larvae,Aquatic Insect,1,
STTD,9:58,4/22/2019,287,Hemiptera,Nymph,Terrestrial Insect,2,
STTD,9:58,4/22/2019,287,Hemiptera,Adults,Terrestrial Insect,6,
STTD,9:58,4/22/2019,290,Corixidae,Larvae,Aquatic Insect,3,
STTD,9:58,4/22/2019,290,Corixidae,Adults,Aquatic Insect,1,
STTD,9:58,4/22/2019,1109,Hymenoptera,Adults,Terrestrial Insect,1,
STTD,9:58,4/22/2019,116,Amphipoda,N/A,Aquatic Non-Insect,1,unique  Maybe Gammaridae
STTD,9:58,4/22/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,15,
STTD,9:58,4/22/2019,1420,Crangonyctidae,N/A,Aquatic Non-Insect,8,
STTD,9:58,4/22/2019,3937,Leptocheliidae,N/A,Aquatic Non-Insect,1,
SHR,9:10,4/23/2019,28,Naididae,N/A,Aquatic Non-Insect,10,
SHR,9:10,4/23/2019,3138,Hydridae,N/A,Aquatic Non-Insect,2,
SHR,9:10,4/23/2019,693,Diptera,Adults,Terrestrial Insect,1,
SHR,9:10,4/23/2019,699,Ceratopogonidae,Larvae,Aquatic Insect,1,
SHR,9:10,4/23/2019,765,Chironomidae,Larvae,Aquatic Insect,3,
SHR,9:10,4/23/2019,765,Chironomidae,Pupae,Aquatic Insect,11,
SHR,9:10,4/23/2019,765,Chironomidae,Adults,Aquatic Insect,32,
SHR,9:10,4/23/2019,128,Ephemeroptera,Adults,Aquatic Insect,1,
SHR,9:10,4/23/2019,129,Baetidae,Nymph,Aquatic Insect,1,
SHR,9:10,4/23/2019,287,Hemiptera,Nymph,Terrestrial Insect,2,
SHR,9:10,4/23/2019,287,Hemiptera,Adults,Terrestrial Insect,1,
SHR,9:10,4/23/2019,290,Corixidae,Nymph,Aquatic Insect,1,
SHR,9:10,4/23/2019,290,Corixidae,Adults,Aquatic Insect,1,
SHR,9:10,4/23/2019,1649,Veliidae,Nymph,Aquatic Insect,1,
SHR,9:10,4/23/2019,1109,Hymenoptera,Adults,Terrestrial Insect,1,
SHR,9:10,4/23/2019,277,Gomphidae,Nymph,Aquatic Insect,1,
SHR,9:10,4/23/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,1,
SHR,9:10,4/23/2019,1420,Crangonyctidae,N/A,Aquatic Non-Insect,2,
STTD,9:56,5/6/2019,10316,Atherinopsidae,N/A,Aquatic Non-Insect,1,
STTD,9:56,5/6/2019,28,Naididae,N/A,Aquatic Non-Insect,3,
STTD,9:56,5/6/2019,92,Physidae,N/A,Aquatic Non-Insect,5,
STTD,9:56,5/6/2019,3138,Hydridae,N/A,Aquatic Non-Insect,17,
STTD,9:56,5/6/2019,765,Chironomidae,Larvae,Aquatic Insect,1,
STTD,9:56,5/6/2019,765,Chironomidae,Pupae,Aquatic Insect,2,
STTD,9:56,5/6/2019,765,Chironomidae,Adults,Aquatic Insect,23,
STTD,9:56,5/6/2019,720,Psychodidae,Adults,Aquatic Insect,1,
STTD,9:56,5/6/2019,287,Hemiptera,Nymph,Terrestrial Insect,1,
STTD,9:56,5/6/2019,290,Corixidae,Nymph,Aquatic Insect,7,
STTD,9:56,5/6/2019,290,Corixidae,Adults,Aquatic Insect,2,
STTD,9:56,5/6/2019,1066,Notonectidae,Nymph,Aquatic Insect,1,
STTD,9:56,5/6/2019,116,Amphipoda,N/A,Aquatic Non-Insect,1,unique
STTD,9:56,5/6/2019,4016,Hyalellidae,N/A,Aquatic Non-Insect,2,
STTD,9:56,5/6/2019,2,Turbellaria,N/A,Aquatic Non-Insect,1,
SHR,10:13,5/7/2019,12542,Actinopterygii - eggs,N/A,Aquatic Non-Insect,1,
SHR,10:13,5/7/2019,1049,Corbiculidae,N/A,Aquatic Non-Insect,5,
SHR,10:13,5/7/2019,92,Physidae,N/A,Aquatic Non-Insect,2,
SHR,10:13,5/7/2019,3138,Hydridae,N/A,Aquatic Non-Insect,2,
SHR,10:13,5/7/2019,699,Ceratopogonidae,Pupae,Aquatic Insect,5,
SHR,10:13,5/7/2019,765,Chironomidae,Larvae,Aquatic Insect,2,
SHR,10:13,5/7/2019,765,Chironomidae,Pupae,Aquatic Insect,1,
SHR,10:13,5/7/2019,765,Chironomidae,Adults,Aquatic Insect,2,
SHR,10:13,5/7/2019,129,Baetidae,Larvae,Aquatic Insect,1,
SHR,10:13,5/7/2019,263,Leptohyphidae,Larvae,Aquatic Insect,1,
SHR,10:13,5/7/2019,570,Hydroptilidae,Pupae,Aquatic Insect,1,
SHR,10:13,5/7/2019,4051,Corophiidae,N/A,Aquatic Non-Insect,3,
STTD,10:10,5/20/2019,10316,Atherinopsidae,N/A,Aquatic Non-Insect,1,
STTD,10:10,5/20/2019,3109,Araneae,N/A,Terrestrial Non-Insect,38,
STTD,10:10,5/20/2019,1049,Corbiculidae,N/A,Aquatic Non-Insect,1,
STTD,10:10,5/20/2019,28,Naididae,N/A,Aquatic Non-Insect,12,
STTD,10:10,5/20/2019,92,Physidae,N/A,Aquatic Non-Insect,1484,
STTD,10:10,5/20/2019,95,Planorbidae,N/A,Aquatic Non-Insect,3,
STTD,10:10,5/20/2019,3138,Hydridae,N/A,Aquatic Non-Insect,1,
STTD,10:10,5/20/2019,7495,Archaeognatha,Adults,Terrestrial Insect,1,
STTD,10:10,5/20/2019,421,Coleoptera,Larvae,Terrestrial Insect,3,
STTD,10:10,5/20/2019,421,Coleoptera,Adults,Terrestrial Insect,29,
STTD,10:10,5/20/2019,428,Dytiscidae,Larvae,Aquatic Insect,3,
STTD,10:10,5/20/2019,428,Dytiscidae,Adults,Aquatic Insect,6,
STTD,10:10,5/20/2019,1898,Hydraenidae,Adults,Aquatic Insect,6,
STTD,10:10,5/20/2019,489,Hydrophilidae,Larvae,Aquatic Insect,4,
STTD,10:10,5/20/2019,489,Hydrophilidae,Adults,Aquatic Insect,1,
STTD,10:10,5/20/2019,1125,Collembola,Adults,Terrestrial Non-Insect,246,
STTD,10:10,5/20/2019,5058,Dermaptera,Adults,Terrestrial Insect,1,
