Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,FlowDirection,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,U/D/N,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,NDFA,DWT,A0033300,ES0720B0165,07/14/2020,8:02,,,,FIELD,nkwan ,TRUE,,"jrobinson, hhudson",1,CLR,0.15,22.5,4.82,596,568,7.33,N/A,,1,2,55.5,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Time correction (8:32 to 8:02),acasby,ldixit
,,NDFA,I80,,ES0720B0166,07/14/2020,8:45,,,,FIELD,jrobinson,TRUE,,"nkwan, hhudson",1,CLR,0.20,23.1,5.32,698,672,7.71,N/A,,2,1,52.5,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,acasby,cstuart
,,NDFA,RD22,,ES0720B0164,07/14/2020,11:41,,,,FIELD,ldixit,TRUE,,"nikemiyagi, mbedwell",3,CLR,0.31,26.1,6.06,926,945,7.81,N/A,,1,2,30.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,acasby,ldixit
,,NDFA,WWT,,ES0720B0163,07/14/2020,11:09,,,,FIELD,mbedwell,TRUE,,"nikemiyagi, ldixit",3,CLR,,25.1,4.7,923,925,7.35,N/A,,1,3,12.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Too shallow for secchi. Lots of primrose. ,,acasby,ldixit
,,NDFA,RMB,,ES0720B0161,07/14/2020,8:32,,,,FIELD,ldixit,TRUE,,"nikemiyagi, mbedwell",3,CLR,0.35,27.3,1.95,694,725,7.3,N/A,,1,2,22.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,acasby,ldixit
,,NDFA,RCS,,ES0720B0162,07/14/2020,9:42,,,,FIELD,ldixit,TRUE,,"nikemiyagi, mbedwell",3,CLR,0.49,26.9,2.16,696,721,7.48,N/A,,1,2,11.2,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,acasby,ldixit
,,NDFA,LIS,,ES0720B0167,07/14/2020,10:12,,,,FIELD,hhudson,TRUE,,"jrobinson, nkwan",1,CLR,0.22,24.9,6.28,322,322,7.87,Ebb,,1,1,32.4,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,acasby,ldixit
,,NDFA,SHR,,ES0720B0173,07/13/2020,9:17,,,,FIELD,ltwardochleb,TRUE,,"jadams, acasby",1,CLR,1.00,22.5,8.18,118,112,7.45,Ebb,,1,1,7.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Used homogenizing bucket for samples,"recorder name correction, pH correction (7.25 to 7.45)",acasby,ldixit
