OrganismID,Category,Phylum,Class,Order,Family,Species
1,Aquatic Non-Insects,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,
2,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Enchytraeidae,
3,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,
4,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Naididae,
5,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Tubificidae,
6,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Sparganophilidae,
7,Aquatic Non-Insects,Annelida,Polychaeta,Aciculata,Nereidae,
8,Aquatic Non-Insects,Annelida,Polychaeta,Canalipalpata,Sabellidae,
9,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Corophiidae,
10,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,
11,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Gammaridae,
12,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Taltridae,
13,Aquatic Non-Insects,Arthropoda,Malacostraca,Mysidacea,Mysidae,
14,Aquatic Non-Insects,Arthropoda,Crustacea,Ostracoda,Cypridae,
15,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,
16,Aquatic Non-Insects,Arthropoda,Malacostraca,Decapoda,Astacidae,
17,Aquatic Non-Insects,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia affinis
18,Aquatic Non-Insects,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,
19,Aquatic Non-Insects,Mollusca,Bivalvia,Veneroida,Corbiculidae,
20,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Physidae,
21,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Planorbidae,
22,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Ancylidae,
23,Aquatic Non-Insects,Nematoda,Adenophorea,Dorylaimida,Dorylaimidae,
24,Aquatic Non-Insects,Nematoda,Adenophorea,Mermithida,Mermithidae,
25,Aquatic Non-Insects,Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae,
26,Aquatic Non-Insects,Platyhelminthes,Turbellaria,Tricladida,Planariidae,
27,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Eylaidae,
28,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Lebertiidae,
29,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Sperchontidae,
30,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Dytiscidae,
31,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Helophoridae,
32,Aquatic Insects,Arthropoda,Insecta,Diptera,Ceratopogonidae,
33,Aquatic Insects,Arthropoda,Insecta,Diptera,Chaoboridae,
34,Aquatic Insects,Arthropoda,Insecta,Diptera,Chironomidae,
35,Aquatic Insects,Arthropoda,Insecta,Diptera,Empididae,
36,Aquatic Insects,Arthropoda,Insecta,Diptera,Ephydridae,
37,Aquatic Insects,Arthropoda,Insecta,Diptera,Psychodidae,
38,Aquatic Insects,Arthropoda,Insecta,Diptera,Simuliidae,
39,Aquatic Insects,Arthropoda,Insecta,Diptera,Tipulidae,
40,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Caenidae,
41,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Baetidae,
42,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,
43,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,
44,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Corixidae,
45,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Notonectidae,
46,Aquatic Insects,Arthropoda,Insecta,Odonata,Coenagrionidae,
47,Aquatic Insects,Arthropoda,Insecta,Odonata,Libellulidae,
48,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Hydropsychidae,
49,Aquatic Insects,Arthropoda,Insecta,Diptera,Culicidae,
50,Aquatic Insects,Arthropoda,Insecta,Diptera,Dixidae,
51,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Gyrinidae,
52,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Hydraenidae,
53,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Melyridae,
54,Aquatic Insects,Arthropoda,Insecta,Diptera,Sciomyzidae,
55,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Staphylinidae,
56,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Leptoceridae,
57,Terrestrial Non-Insects,Arthropoda,Arachnida,Acari,,
58,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneida,,
59,Terrestrial Non-Insects,Arthropoda,Chilopoda,Geophilomorpha,,
60,Terrestrial Non-Insects,Arthropoda,Chilopoda,Lithobiomorpha,,
61,Terrestrial Non-Insects,Arthropoda,Malacostraca,Isopoda,,
62,Terrestrial Non-Insects,Arthropoda,Diplopoda,Julida,,
63,Terrestrial Insects,Arthropoda,Insecta,Coleoptera,,
64,Terrestrial Insects,Arthropoda,Insecta,Diptera,,
65,Terrestrial Insects,Arthropoda,Insecta,Homoptera,,
66,Terrestrial Insects,Arthropoda,Insecta,Hymenoptera,,
67,Terrestrial Insects,Arthropoda,Insecta,Psocoptera,,
68,Terrestrial Non-Insects,Arthropoda,Entognatha,Collembola,,
69,Terrestrial Insects,Arthropoda,Insecta,Dermaptera,,
70,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneae,Diplura,
71,Terrestrial Insects,Arthropoda,Insecta,Hemiptera,,
72,Terrestrial Insects,Arthropoda,Insecta,Isoptera,,
73,Terrestrial Insects,Arthropoda,Insecta,Lepidoptera,,
74,Terrestrial Insects,Arthropoda,Insecta,Neuroptera,,
75,Terrestrial Non-Insects,Arthropoda,Arachnida,Phalangida,,
76,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,
77,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,
78,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Tricorythidae,
79,Aquatic Non-Insects,Chordata,,Fish,Fish,
80,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Haliplidae,
81,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Hydrophilidae,
82,Aquatic Insects,Arthropoda,Insecta,Diptera,Tabanidae,
83,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Psychomyiidae,
84,Terrestrial Insects,Arthropoda,Insecta,Thysanura,,
