IEPFishCode,CommonName ,ScientificName,Family,,,,,,,,,,,,,
AMEEEL,American Eel ,Anguilla rostrata,Anguillidae,,,,,,,,,,,,,
AMESHA,American Shad ,Alosa sapidissima,Clupeidae,,,,,,,,,,,,,
ARRGOB,Arrow Goby ,Clevelandia ios,Gobiidae,,,,,,,,,,,,,
BARSUR,Barred Surfperch ,Amphistichus argenteus,Embiotocidae,,,,,,,,,,,,,
BATRAY,Bat Ray ,Myliobatis californica,Myliobatidae,,,,,,,,,,,,,
BAYGOB,Bay Goby ,Lepidogobius lepidus,Gobiidae,,,,,,,,,,,,,
BAYPIP,Bay Pipefish ,Syngnathus leptorhynchus,Syngnathidae,,,,,,,,,,,,,
BIGSKA,Big Skate ,Raja binoculata,Rajidae,,,,,,,,,,,,,
BMOSOL,Bigmouth Sole ,Hippoglossina stomata,Paralichthyidae,,,,,,,,,,,,,
BIGLOG,Bigscale Logperch ,Percina macrolepida,Percidae,,,,,,,,,,,,,
BLABUL,Black Bullhead ,Ameiurus melas,Ictaluridae,,,,,,,,,,,,,
BLACRA,Black Crappie ,Pomoxis nigromaculatus,Centrarchidae,,,,,,,,,,,,,
BLAPER,Black Perch ,Embiotoca jacksoni,Embiotocidae,,,,,,,,,,,,,
BLAROC,Black Rockfish ,Sebastes melanops,Scorpaenidae,,,,,,,,,,,,,
BLUCAT,Blue Catfish ,Ictalurus furcatus,Ictaluridae,,,,,,,,,,,,,
BLUROC,Blue Rockfish ,Sebastes mystinus,Scorpaenidae,,,,,,,,,,,,,
BLUKILL ,Bluefin Killifish ,Lucania goodei ,Fundulidae,,,,,,,,,,,,,
BLUEGI,Bluegill ,Lepomis macrochirus,Centrarchidae,,,,,,,,,,,,,
BOCACC,Bocaccio ,Sebastes paucispinis,Scorpaenidae,,,,,,,,,,,,,
BONSCU,Bonyhead Sculpin ,Artedius notospilotus,Cottidae,,,,,,,,,,,,,
BROSSH,Broadnose Sevengill Shark ,Notorynchus cepedianus,Notorynchidae ,,,,,,,,,,,,,
BROILO,Brown Irish lord ,Hemilepidotus spinosus,Cottidae,,,,,,,,,,,,,
BRNTRT,Brown Trout ,Salmo trutta,Salmonidae,,,,,,,,,,,,,
BROBUL,Brown Bullhead ,Ameiurus nebulosus,Ictaluridae,,,,,,,,,,,,,
BROROC,Brown Rockfish ,Sebastes auriculatus,Scorpaenidae,,,,,,,,,,,,,
BROSMO,Brown Smoothhound ,Mustelus henlei,Triakidae,,,,,,,,,,,,,
BUFSCU,Buffalo Sculpin ,Enophrys bison,Cottidae,,,,,,,,,,,,,
BUTSOL,Butter Sole ,Isopsetta isolepis,Pleuronectidae,,,,,,,,,,,,,
CABEZO,Cabezon ,Scorpaenichthys marmoratus,Cottidae,,,,,,,,,,,,,
CALSUR,Calico Surfperch ,Amphistichus koelzi,Embiotocidae,,,,,,,,,,,,,
CALROA,California Roach ,Hesperoleucus symmetricus,Cyprinidae,,,,,,,,,,,,,
CALSKA,California Skate ,Raja inornata,Rajidae,,,,,,,,,,,,,
CALGRU,California Grunion ,Leuresthes tenuis,Atherinopsidae,,,,,,,,,,,,,
CALHAL,California Halibut ,Paralichthys californicus,Paralichthyidae,,,,,,,,,,,,,
CALLIZ,California Lizardfish ,Synodus lucioceps,Synodontidae,,,,,,,,,,,,,
CALTON,California Tonguefish ,Symphurus atricaudus,Cynoglossidae,,,,,,,,,,,,,
CHAGOB,Chameleon Goby ,Tridentiger trigonocephalus,Gobiidae,,,,,,,,,,,,,
CHACAT,Channel Catfish ,Ictalurus punctatus,Ictaluridae,,,,,,,,,,,,,
CHEGOB,Cheekspot Goby ,Ilypnus gilberti,Gobiidae,,,,,,,,,,,,,
CHISAL,Chinook salmon ,Oncorhynchus tshawytscha,Salmonidae,,,,,,,,,,,,,
COSOLE,C-O Sole ,Pleuronichthys coenosus,Pleuronectidae,,,,,,,,,,,,,
COHSAL,Coho Salmon ,Oncorhynchus kisutch,Salmonidae,,,,,,,,,,,,,
COMCAR,Common Carp ,Cyprinus carpio,Cyprinidae,,,,,,,,,,,,,
CREKEL,Crevice Kelpfish ,Gibbonsia montereyensis,Clinidae,,,,,,,,,,,,,
CURSOL,Curlfin Sole ,Pleuronichthys decurrens,Pleuronectidae,,,,,,,,,,,,,
DELSME,Delta Smelt ,Hypomesus transpacificus,Osmeridae,,,,,,,,,,,,,
DELWAK,Delta/Wakasagi Hybrid ,Hypomesus sp.,Osmeridae,,,,,,,,,,,,,
