YBFMP,Date,Time,Station Code,Use sample code from FLIMS/WDL to connect field data and lab data,PhysicalDataID,,,Duration of tow,Flowmeter reading,Flowmeter reading,,,Low or Regular,,,,Keep this to comments pertaining to zoop collection,,,,,,Repeat of net mesh size,1 for 500,1 If normal;    2 if duplicate,
Measuring program short name,Sampling Event Date,Sampling Event Time,Sampling Area Number,Sampling Event Number,,Condition Code,Sampling Altered,Set Time,Flow Meter Start,Flow Meter End,Flow Meter Start (50),Flow Meter End (50),Flow Meter Speed,Physical Data ID,Entered by,QAQC'd by,Field Comments,Lab Comments,Sample Volume,Subsample Number,Dilution Volume,Slide Count,Observation Area Name,Observation Area Number,Spot Number,Spot Code (original/duplicate)
,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,WDL_SAM code,,,Y/N,,,,,,,,,,,,,,,,,,,
YBFMP,08/05/2014,12:05,SHR,EDZ0208B9217,,1,,5,848455,852000,,,Low,997,cstuart,acasby,Flowmeter has a bubble,Copepd sex; dominant sp: P. forbesii; Total Vol (mL): 1987; Subsample Vol (mL): 1; # of subsamples: 15; male counts: 0; female counts: 3; female with eggs: 1; # of eggs attatched to the females: 12,,5,,,500,1,1,original
YBFMP,10/10/2016,13:12,STTD,EDZ1016B9217,,1,,5,222222,223222,,,Low,,hhudson,cstuart,Debris in net,,,,,,500,1,1,original
YBFMP,01/06/2020,10:19,STTD,ES0120B0001,,1,,10,656369,660000,,,Low,,ehubbard,pfarman,"Flood tide, motor used faceing upstream with tide",,,,,,500,1,1,original
YBFMP,01/27/2020,09:41,STTD,ES0120B0009,,1,,10,646110,650000,,,Low,,ehubbard,pfarman,,,,,,,500,1,1,original
YBFMP,02/10/2020,10:24,STTD,ES0220B0017,,1,,10,636217,640000,,,Low,,ehubbard,pfarman,,,,,,,500,1,1,original
YBFMP,02/24/2020,09:47,STTD,ES0220B0025,,1,,10,626383,630000,,,Low,,ehubbard,pfarman,,,,,,,500,1,1,original
YBFMP,03/10/2020,09:51,STTD,ES0320B0033,,1,,10,612033,616000,,,Low,,ehubbard,pfarman,,,,,,,500,1,1,original
YBFMP,04/26/2021,09:13,SHR,ES0421B0037,,1,,,592745,598600,,,Low,,abrady,ehubbard,Used net for comparison,,,,,,500,1,1,original
YBFMP,04/27/2021,09:33,STTD,ES0421B0035,,1,,10,592000,587695,,,low,,abrady,ehubbard,,,,,,,500,1,1,original
YBFMP,05/10/2021,09:55,SHR,ES0521B0062,,1,,10,582059,587615,,,Low,,abrady,ehubbard,"Looks like time was crossed off, I think net was used for comparison again while testing drift",,,,,,500,1,1,original
YBFMP,05/11/2021,09:31,STTD,ES0521B0060,,1,,10,579048,582000,,,Low,,abrady,ehubbard,,,,,,,500,1,1,original
YBFMP,05/25/2021,09:16,STTD,ES0521B0068,,1,,10,579020,575456,,,Low,,abrady,ehubbard,,,,,,,500,1,1,original
YBFMP,06/09/2021,09:37,STTD,ES0621B0084,,1,,10,575408,571958,,,low,,abrady,ehubbard,,,,,,,500,1,1,original
YBFMP,06/22/2021,09:17,STTD,ES0621B0092,,1,,10,571829,568363,,,Low,,ehubbard,pfarman,,,,,,,500,1,1,original
