LarvalCatchID,LarvalDataID,ChannelLocation,SpeciesCode,Stage,TL,FL,Count,Comments,LarvalCode
1,1,,PRS,L,,,1,,12002
5,2,,PRS,L,,,1,,22007
6,2,,LP,L,,,1,,22007
7,2,,SASU,E,,,1,"dead egg of SASU, egg diameter:ca 3.1-3.2mm",22007
8,3,,LP,L,,,1,,12011
13,5,,PRS,L,,,1,,12015
14,6,,C,L,7,,1,,22015
15,7,,C,Y,6.900000095,,1,,22017
16,7,,SASU,L,,,2,,22017
17,7,,POM,L,,,1,,22017
18,8,,LP,L,,,2,,22019
19,8,,PRS,L,,,2,,22019
20,8,,C,Y/L,,,59,,22019
21,8,,SASU,L,,,3,,22019
22,9,,C,L,7,,1,,22020
23,10,,SBE,E,,,2,SBE in morula stage ca. 3.7mm in diameter,12018
24,11,,PRS,L,,,1,,22023
25,11,,SASU,L,,,1,,22023
26,12,,PRS,L,,,1,,22024
27,12,,C,L,9,,1,,22024
28,12,,SASU,L,,,1,,22024
29,13,,SPLT,L,23,20.70000076,1,,22025
31,14,,TFS,L,,,1,,22026
32,14,,LP,L,,,1,,22026
33,14,,PRS,L,,,1,,22026
34,14,,SASU,L,,,1,,22026
35,15,,LP,L,,,1,,22027
36,15,,PRS,L,,,1,,22027
37,15,,SASU,L,,,1,,22027
38,16,,LP,L,,,4,,22028
39,16,,PRS,L,,,6,,22028
40,16,,MSS,L,,,3,,22028
41,16,,SPLT,J,31,28,1,,22028
42,17,,TFS,L,,,1,,22029
43,17,,LP,L,,,5,,22029
44,17,,PRS,L,,,12,,22029
45,17,,MSS,L,,,37,,22029
46,18,,TFS,L,,,3,,22030
47,18,,LP,L,,,1,,22030
48,18,,WAG,L,6.099999905,,1,,22030
49,18,,PRS,L,,,21,,22030
50,18,,MSS,L,,,6,,22030
51,19,,STB,L,,,1,,22031
52,19,,LP,L,,,2,,22031
53,19,,WAG,L,7.800000191,,1,,22031
54,19,,PRS,L,,,3,,22031
55,19,,MSS,L,,,1,,22031
56,20,,STB,L,,,2,,22032
57,20,,TFS,L,,,5,,22032
58,20,,LP,L,,,1,,22032
59,20,,PRS,L,,,4,,22032
60,20,,MSS,L,,,18,,22032
61,21,,STB,L,,,3,,22033
62,21,,SHM,L,,,2,,22033
63,21,,TFS,L,,,8,,22033
64,21,,LP,L,,,2,,22033
65,21,,WAG,L,7.5,,1,,22033
66,21,,PRS,L,,,23,,22033
67,21,,MSS,L,,,9,,22033
68,22,,TFS,L,,,95,,22034
69,22,,LP,L,,,1,,22034
70,22,,PRS,L,,,1,,22034
71,22,,LEP,L,,,1,"Lepomis sp., larva",22034
72,23,,ASE,E,,,6,ASE dead-1 live (morula stage)-5 egg size: 3.2 to 3.5mm in diameter,12019
73,23,,PRS,L,,,1,,12019
74,23,,SCB,L,8.199999809,,1,,12019
75,24,,ASE,E,,,35,"dead:5, morula stage:24, early embryo stage:6",12021
76,24,,TFS,L,,,1,,12021
77,24,,PRS,L,,,8,,12021
78,24,,MSS,L,,,3,,12021
79,24,,LEP,L,,,1,larva,12021
92,27,,PRS,L,,,2,,22101
93,32,,PRS,L,,,5,,22102
94,30,,PRS,L,,,1,,12101
95,30,,SPLT,L,,,2,,12101
96,37,,AMS,L,,,262,,22105
97,37,,STB,L,,,37,,22105
98,37,,SHM,L,,,3,,22105
99,37,,TFS,L,,,16,,22105
100,37,,PRS,L,,,1,,22105
101,37,,SPLT,L,,,5,,22105
102,37,,MSS,L,,,18,,22105
103,37,,MIN,L,,,5,,22105
104,37,,LEP,L,,,1,,22105
105,36,,DSM,L,,,1,,22104
106,36,,SHM,L,,,7,,22104
107,36,,TFS,L,,,1038,,22104
108,36,,LP,L,,,1,,22104
109,36,,WAG,L,,,1,,22104
110,36,,PRS,L,,,89,,22104
111,36,,SPLT,L,,,14,,22104
112,36,,MSS,L,,,3,,22104
114,42,,PRS,L,,,1,,22201
115,43,,PRS,L,,,32,,22202
119,46,,PRS,L,,,4,,22205
120,46,,MIN,L,,,1,,22205
121,47,,PRS,L,,,18,,22206
122,47,,LP,L,,,2,,22206
123,48,,STB,L,,,2,,22207
124,48,,SHM,L,,,1,,22207
125,48,,TFS,L,,,5,,22207
126,48,,LP,L,,,3,,22207
127,48,,PRS,L,,,2,,22207
130,50,,PRS,L,,,1,,12202
131,51,,LP,L,,,1,,12203
132,51,,PRS,L,,,1,,12203
133,51,,CHN,J,,,2,,12203
137,55,,OE,E,,,2,,12207
138,55,,PRS,L,,,2,,12207
139,56,,OE,E,,,1,,12208
140,56,,STB,L,,,167,,12208
141,57,,STB,L,,,3,,12209
142,58,,STB,L,,,29,,22208
143,,,None,,,,0,,23203
156,4,,PRS,L,,,1,,22013
157,4,,C,Y,6,,1,,22013
158,4,,POM,L,,,2,larva,22013
159,4,,SASU,L,,,2,,22013
178,104,,PRS,L,,,2,,12301
179,105,,PRS,L,,,1,,12302
181,150,,STB,L,,,1,,12304
183,112,,STB,L,,,549,,12306
184,112,,TFS,L,,,2,,12306
185,112,,LEP,L,,,1,,12306
186,155,,STB,L,,,18,,12307
187,114,,PRS,L,,,1,,12308
188,115,,TFS,L,,,1,,12309
189,115,,STB,L,,,35,,12309
190,114,,SPLT,L,,,1,,12308
191,114,,TSE,Y,,,6,,12308
192,155,,TFS,L,,,1,,12307
193,155,,PRS,L,,,1,,12307
194,116,,STB,L,,,16,,12310
195,116,,SPLT,L,,,1,,12310
196,131,,MIN,L,,,1,,12311
197,131,,STB,L,,,38,,12311
198,136,,STB,L,,,8,,12321
199,136,,TFS,L,,,4,,12321
204,154,,STB,L,,,1,,22305
205,154,,DSM,L,,,2,,22305
206,154,,PRS,L,,,1,,22305
208,153,,DSM,L,,,2,,22307
209,153,,SHM,L,,,1,,22307
210,153,,TFS,L,,,8,,22307
211,153,,PRS,L,,,10,,22307
212,153,,MSS,L,,,3,,22307
213,126,,STB,L,,,1,,22308
214,126,,TFS,L,,,37,,22308
215,126,,LP,L,,,1,,22308
216,126,,PRS,L,,,1,,22308
217,126,,SPLT,L,,,1,,22308
218,126,,MIN,L,,,1,,22308
219,126,,LEP,L,,,1,,22308
