PhysicalDataID,Station Code,Recorder,Field Check,Crew,Date,YSI #,Time,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity,LightData,DriftData,LarvalData,ZoopsData,50_ZoopsData,ChlData,PhytoData,NutrData,EnteredBy,QA/QC'dBy,StartMeter,EndMeter,MeterSetTime,Comments,DataCorrectionComments
2010,STTD,JR,TRUE,"NI, AC",1/6/2020,1,10:19,CLR,Flood,1,9.1,0.41,464,666,7.45,9.37,13.50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
2009,STTD,CS,TRUE,"NI, JR",1/27/2020,1,9:41,CLR,Ebb,1,11.5,0.38,561,757,7.55,8.93,17.10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
2008,LIS,CS,TRUE,"NI, JR",1/27/2020,1,11:46,CLD,Ebb,1,12.4,0.25,579,763,7.89,8.97,40.50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
2007,SHR,NI,TRUE,"MB, CS",1/28/2020,3,9:30,CLD,High,1,11.4,0.5,139,188,7.46,10.49,19.40,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
2006,LIS,AC,TRUE,NI JR,1/6/2020,1,14:00,CLR,Flood,1,9.8,0.35,470,664,7.97,9.91,20.10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
2005,SHR,NK,TRUE,AC JR,1/7/2020,3,9:27,FOG,Ebb,1,9.6,0.9,139,197,7.42,10.9,14.00,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
2003,SHR,MB,TRUE,TJ CS,12/27/2019,1,9:40,CLR,Ebb,1,8.9,0.7,120,175,7.29,10.72,13.20,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
2002,LIS,MB,TRUE,NI CS,12/26/2019,3,12:36,CLR,Ebb,1,9.0,0.4,484,697,7.59,9.25,19.00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
2001,STTD,CS,TRUE,NI MB,12/26/2019,3,10:15,CLR,Ebb,1,9.0,0.4,453,653,7.48,8.43,20.60,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1999,SHR,CS,TRUE,MB JA,12/10/2019,2,9:10,CLD,Ebb,1,12.0,0.45,131,174,7.33,9.27,24.60,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1998,LIS,NI,TRUE,MB CS,12/9/2019,3,13:37,CLR,Flood,1,13.1,0.27,449,582,7.47,5.86,30.20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1997,STTD,NI,TRUE,MB CS,12/9/2019,3,10:30,CLD,Flood,1,12.5,0.39,421,553,7.47,6.47,26.30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,cstuart,,,,,
1996,SHR,MB,TRUE,"JR, CP",11/25/2019,2,9:35,CLR,Ebb,1,12.0,1.6,102,136,7.57,10.05,5.30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1995,LIS,CS,TRUE,"NI, NK",11/26/2019,3,12:11,CLD,Ebb,1,11.2,0.33,187,254,7.6,8.44,26.00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1994,STTD,NK,TRUE,"NI, CS",11/26/2019,3,9:57,CLD,Ebb,1,11.4,0.57,150,202,7.83,9.62,13.90,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1993,STTD,NK,TRUE,"MB, JR",11/14/2019,1,10:31,CLR,High,1,14.9,0.5,150,185,7.92,9.44,12.90,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cstuart,acasby,,,,,
1990,SHR,CP,TRUE,NI AC,11/13/2019,3,9:36,CLD,Ebb,1,13.6,2.5,94,120,7.47,9.78,5.20,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1989,LIS,AC,TRUE,JR NI,11/12/2019,2,11:05,CLD,Ebb,1,14.3,0.32,188,236,7.71,7.42,24.40,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1988,LIS,NK,TRUE,MB TJ,10/29/2019,2,13:16,CLR,Ebb,1,14.1,0.25,212,268,7.88,8.75,41.20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1987,STTD,NK,TRUE,MB TJ,10/29/2019,2,10:20,CLR,Ebb,1,12.9,0.34,152,198,7.98,9.29,21.30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1986,SHR,AC,TRUE,JA JR,10/28/2019,1,9:08,CLR,Flood,1,13.7,1.75,93,118,7.4,9.8,4.10,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,sspencer,,,,,
1985,RVB,CS,TRUE,CP KG,10/16/2019,2,9:08,CLD,Ebb,1,16.1,2.3,109,131,7.45,8.77,4.70,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1984,RYI,CS,TRUE,KG CP,10/16/2019,2,10:03,CLD,Ebb,1,16.0,1.9,111,135,7.43,8.92,4.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1983,LIB,CS,TRUE,KG CP,10/16/2019,2,10:40,CLD,Ebb,1,16.1,1.5,122,147,7.7,9.2,5.80,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1982,BL5,CS,TRUE,KG CP,10/16/2019,2,11:18,CLD,Ebb,1,16.4,1.7,137,164,8.05,9.31,5.60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1981,STTD,CP,TRUE,CS KG,10/16/2019,2,12:18,CLD,Ebb,1,16.9,0.5,191,226,8.45,9.04,16.40,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1980,STTD,CP,TRUE,CS KG,10/16/2019,2,12:03,CLD,Ebb,1,16.9,0.5,191,226,8.45,9.04,16.40,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1979,LIS,CP,TRUE,NI AM,10/15/2019,2,13:16,CLR,Ebb,1,17.2,0.21,269,316,7.93,7.61,31.00,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
1978,I80,CP,FALSE,NI AM,10/15/2019,2,14:24,CLR,,1,16.9,0.26,606,718,8.37,14.21,31.90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,Vegetation rank of 2 - primrose present.,
1977,DWT,CP,TRUE,AM NI,10/15/2019,2,15:41,CLR,,1,17.0,0.23,485,572,7.96,11.26,37.30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,acasby,jrobinson,,,,"Vegetation Rank of 3, primrose present-- Naoaki had to walk into channel",
1976,RMB,SS,TRUE,CS MB,10/15/2019,3,9:20,CLR,,1,15.6,0.39,455,554,7.51,7.35,17.50,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,Vegetation code of 2,Added Vegetation code
1975,RCS,CS,TRUE,SS MB,10/15/2019,3,10:49,CLR,,1,15.8,0.24,493,598,7.58,6.62,23.60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,acasby,jrobinson,,,,,
